date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:40	27252/27252	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:32%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/css/style.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/css/style.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:41	4344/4344	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:52:30%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/css/responsive.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/css/responsive.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:42	2818/2818	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:53:22%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/switcher/switcher.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/switcher/switcher.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:42	74/74	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2018:53:18%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/switcher/style1.css	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/switcher/style1.css	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:43	5270/5270	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202017%2017:58:19%20GMT	http://wordpressboss.com/wb/smoth-demo/index.html	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/index.html	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:45	63450/63450	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:52:58%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/about.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/about.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:55	85219/85219	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:14%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/work/1.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/work/1.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:57	57788/57788	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:16%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/work/4.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/work/4.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:57	75086/75086	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:14%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/work/2.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/work/2.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:30:58	70040/70040	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:16%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/work/3.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/work/3.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:31:09	59248/59248	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:01%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/team/team1.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/team/team1.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:31:09	55967/55967	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:01%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/team/team2.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/team/team2.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
